[SENSOR][DROP] PAYLOAD | age=17.020ms
[SENSOR][DROP] PAYLOAD | age=1.698ms
[SENSOR][DROP] PAYLOAD | age=25.144ms
[SENSOR][DROP] PAYLOAD | age=1.406ms
[SENSOR][DROP] PAYLOAD | age=40.067ms
[SENSOR][DROP] PAYLOAD | age=47.824ms
[SENSOR][DROP] PAYLOAD | age=2.006ms
[SENSOR][DROP] PAYLOAD | age=13.334ms
[SENSOR][DROP] PAYLOAD | age=23.719ms
[SENSOR][DROP] PAYLOAD | age=0.948ms
[SENSOR][DROP] PAYLOAD | age=39.154ms
[SENSOR][DROP] PAYLOAD | age=47.590ms
[SENSOR][DROP] PAYLOAD | age=1.424ms
[SENSOR][DROP] PAYLOAD | age=5.396ms
[SENSOR][DROP] PAYLOAD | age=12.896ms
[SENSOR][DROP] PAYLOAD | age=1.160ms
[SENSOR][DROP] PAYLOAD | age=28.687ms
[SENSOR][DROP] PAYLOAD | age=37.585ms
[SENSOR][DROP] PAYLOAD | age=1.483ms
